title,ebay_url,price,cosine_similarity
Patagonia Nano Puff Jacket,https://www.ebay.com/itm/196899621288?_skw=women%27s+nano+puff%C2%AE+jacket&hash=item2dd821c9a8:g:33EAAOSwdCVnYim~,90.0,0.804814404753815
Patagonia Nano Puff Women’s Jacket(black)-XS,https://www.ebay.com/itm/365356271556?_skw=women%27s+nano+puff%C2%AE+jacket&hash=item5510ee47c4:g:baAAAOSwwlpnj~cl,99.0,0.6889702058775932
womens patagonia nano puff jacket size xs,https://www.ebay.com/itm/196449043965?_skw=women%27s+nano+puff%C2%AE+jacket&hash=item2dbd4685fd:g:FCcAAOSwVKtmb7q1,103.0,0.601904159904101
Patagonia Women's Nano Puff Jacket,https://www.ebay.com/itm/405490668389?_skw=women%27s+nano+puff%C2%AE+jacket&hash=item5e69209365:g:KEwAAOSw9NhnjtYl,105.0,0.9097660831665213
Patagonia Nano Puff Jacket,https://www.ebay.com/itm/186810334880?_skw=women%27s+nano+puff%C2%AE+jacket&hash=item2b7ec37ea0:g:1LQAAOSwK01nRtB9,118.08,0.804814404753815
Patagonia Women's nano puff jacket - size XS,https://www.ebay.com/itm/376284018814?_skw=women%27s+nano+puff%C2%AE+jacket&hash=item579c46787e:g:8sAAAeSwWnhoNc69,120.0,0.601904159904101
Patagonia Women's Nano Puff Jacket,https://www.ebay.com/itm/356428963014?_skw=women%27s+nano+puff%C2%AE+jacket&hash=item52fcd25cc6:g:e1EAAOSw0vZj9uPi&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UY7dAN%2BKeZs5Im1h5m12zY4Xd46Z5lJZLKyV6mBwktaHIW%2FBXazkl0F7ESIWfAwH16uCI4jUk7fK4mWZwNF%2F8h%2B%2BPpT3Qi4TodMTT%2F82T01JmCibHnZuE1tNtBLgGtHYwA8pl5eJJ1WQOWJf6Ck5%2FZ%2FAf4knD1tNZ%2FZzCQIRWDYg0VWoPuxmuvsGoLpBuLbToViICshBFuFxfIJGiGOt%2BVGghUsPeYEm5tUyAskFqSmypFjyXmBIt1SfxUb8zBvU8C3oPeXhdGpVChs2w%2FN%2BIFzXDKuzYptrUEnatdq7CgbxQ%3D%3D,120.0,0.9097660831665213
Patagonia women’s nano puff jacket size XS,https://www.ebay.com/itm/126197314270?_skw=women%27s+nano+puff%C2%AE+jacket&hash=item1d61f232de:g:xTgAAOSwDUBj4Z9Y,125.0,0.601904159904101
Patagonia Women's Nano Puff Jacket Size XS,https://www.ebay.com/itm/267249902007?_skw=women%27s+nano+puff%C2%AE+jacket&hash=item3e3955e1b7:g:znUAAeSwbYRoI~Tu&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UYrlXuHet6xPLmrIbKJl%2BtITnp79ysg4pYTasc6%2FxGMnAyD0uVDHLl3mARljew84ZdfnDnpHBrqqGwRu4nO4ftjfElctuYllj7KccmotzbwHJx2b96yKhpOICkmzsi5cZ3sFvRC5X0401b5CzAJGtIP6nHZJsd1YOljwuMsmXJaGbyeFRKdVunccUiNWC6e6yo8tADM5WOUbASaP2HochaudnHvmkx0CERUZC5wB42V9vBTZfyiZ%2FsD5ZK%2FR2U3g4Ewl%2Ba%2BJ3xclqwM9WDugZn6HMOrCjN5CM0NDOyOhz8jvA%3D%3D,125.0,0.601904159904101
Patagonia Nano Puff Jacket,https://www.ebay.com/itm/186808300654?_skw=women%27s+nano+puff%C2%AE+jacket&hash=item2b7ea4746e:g:1M4AAOSwFSdnRVtH,128.74,0.804814404753815
Patagonia Nano Puff Jacket,https://www.ebay.com/itm/186808367643?_skw=women%27s+nano+puff%C2%AE+jacket&hash=item2b7ea57a1b:g:Cd4AAOSwS4lnRW-W,128.74,0.804814404753815
Patagonia Women’s Nano Puff Jacket,https://www.ebay.com/itm/375959669928?_skw=women%27s+nano+puff%C2%AE+jacket&hash=item5788f14ca8:g:8XAAAOSw~Xtnm6AS,135.0,0.9097660831665213
Patagonia Women's Nano Puff Quilted Jacket,https://www.ebay.com/itm/186835019553?_skw=women%27s+nano+puff%C2%AE+jacket&hash=item2b803c2721:g:GlYAAOSwz9hnV7bv,148.0,0.6811012560894124
Patagonia Nano Puff Women's Jacket Size: S,https://www.ebay.com/itm/387769860588?_skw=women%27s+nano+puff%C2%AE+jacket&hash=item5a48e281ec:g:uToAAOSweBJnb0MT&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UarBaHzvDkV4KZmesOde6dNuhHbcuHUDxsNHRabcpU%2F8AjSzcMRvryO5dLX5IRixGpMFTcaKiHrZx9di9O2zeX3i8v0Ao7sc2d7PcCLUV9X90zS8nvY5eaDfsLevP3STvkBDKBV89b5NPppSBwAe2e0pEEKZPtONZBi8p3PjHnoi5wwHk4gbjJ9aY%2BuLYQQVfTro7QuhzU2t5qqc6HHsRWB7HsJ1GRWkAh0RUVpWICxXuraDGdl5PfvLsD%2BHZyCOp%2B0A9EglPTbgFU3hWFnxP%2FZW5oypxS3zwXxBTID9tHAIg%3D%3D,165.99,0.732890431618808
Patagonia Women's Nano Puff Jacket,https://www.ebay.com/itm/186806577989?_skw=women%27s+nano+puff%C2%AE+jacket&hash=item2b7e8a2b45:g:kSEAAOSw-IdnRBBt,170.0,0.9097660831665213
patagonia nano puff jacket women's,https://www.ebay.com/itm/176862555551?_skw=women%27s+nano+puff%C2%AE+jacket&hash=item292dd46d9f:g:QscAAOSw9XNnUnxg&amdata=enc%3AAQAKAAABAPeG5RIuIyokJHJy903%2F5UY%2F0bGsT3X9wEPtT6L5xoqFBKPzNzPP86IhZLwm0%2BuVlCL9fwqWAb9negvcBQJnCiqyiy3gghKObInyqudCHtyhalxzuDyPBVN%2FZ8QXI8JeEmBey8UCgX%2FdYX%2BNx9DTLiRXL9FWOLeoYiG0VVH8Ae6Z1155VMguJNdscGl3q69la1b1R4opIpKtSqivf2kecXx%2Fyt4txJAzVHRA4VhH7RE7ZBbC49Lz1sSxjG5N8aRVguvbqg1q24N2K1CujKHZim4KxVtMnhLa175rKmjEbeJXQ6eh7oGQr6J2IThtVx6JK0kKeAMYN5mQCBdGHcg%2FHSc%3D,170.0,0.9097660831665213
Patagonia Women'S Nano Puff Jacket,https://www.ebay.com/itm/405586155421?_skw=women%27s+nano+puff%C2%AE+jacket&hash=item5e6ed1979d:g:G~YAAeSwq0xnwVo0,215.2,0.9097660831665213
